67
1;1;2;
2;2;3;
3;3;4;
4;4;5;
5;5;6;
6;6;7;
7;7;8;
8;1;9;
9;2;10;
10;3;11;
11;4;12;
12;5;13;
13;6;14;
14;7;15;
15;8;16;
16;9;10;
17;10;11;
18;11;12;
19;12;13;
20;13;14;
21;14;15;
22;15;16;
23;9;17;
24;10;18;
25;11;19;
26;12;20;
27;13;21;
28;14;22;
29;15;23;
30;16;24;
31;17;18;
32;18;19;
33;19;20;
34;20;21;
35;21;22;
36;22;23;
37;23;24;
38;17;25;
39;18;26;
40;19;27;
41;20;28;
42;21;29;
43;22;30;
44;23;31;
45;24;32;
46;25;26;
47;26;27;
48;27;28;
49;28;29;
50;29;30;
51;30;31;
52;31;32;
53;25;33;
54;26;34;
55;27;35;
56;28;36;
57;29;37;
58;30;38;
59;31;39;
60;32;40;
61;33;34;
62;34;35;
63;35;36;
64;36;37;
65;37;38;
66;38;39;
67;39;40;
