61
1;1;2;
2;1;3;
3;1;4;
4;2;5;
5;2;6;
6;3;4;
7;4;5;
8;5;6;
9;3;7;
10;3;8;
11;4;9;
12;5;10;
13;6;11;
14;6;12;
15;7;8;
16;8;9;
17;9;10;
18;10;11;
19;11;12;
20;7;13;
21;7;14;
22;8;15;
23;9;16;
24;10;17;
25;11;18;
26;12;19;
27;12;20;
28;13;14;
29;14;15;
30;15;16;
31;16;17;
32;17;18;
33;18;19;
34;19;20;
35;13;21;
36;14;21;
37;15;22;
38;16;23;
39;17;24;
40;18;25;
41;19;26;
42;20;26;
43;21;22;
44;22;23;
45;23;24;
46;24;25;
47;25;26;
48;21;27;
49;22;27;
50;23;28;
51;24;29;
52;25;30;
53;26;30;
54;27;28;
55;28;29;
56;29;30;
57;27;31;
58;28;31;
59;29;32;
60;30;32;
61;31;32;
